Plug API,Adjusted Plug Depth,Depth of QEP Top,Formation From QEP Tops,Plug Distance from QEP Top,Deepest Top
42227383460000,8220,8006.67,WFMP,213.33,no
42227384960000,6889,plug shallower than highest QEP top,plug shallower than highest QEP top,plug shallower than highest QEP top,plug shallower than highest QEP top
42329360050000,9420.1,9053.47,SPRBS,366.63,no
42329360050000,9614.5,9531.17,WFMP,83.33,no
42329364360000,8970.25,8721.76,SPRBL,248.49,no
42329377400000,10090,9925.24,CNYN,164.76,no
42329377400000,10048,9925.24,CNYN,122.76,no
42329377400000,10012.5,9925.24,CNYN,87.26,no
42329377400000,10025.5,9925.24,CNYN,100.26,no
42329377400000,10054.5,9925.24,CNYN,129.26,no
42461357830000,8006.5,7936.62,SPRBS,69.88,no
42461383170000,8738,8593.94,SPRBS,144.06,no
42461383170000,8903.5,8593.94,SPRBS,309.56,no
42461383170000,8773,8593.94,SPRBS,179.06,no
42461383170000,8747.5,8593.94,SPRBS,153.56,no
42461383170000,8823,8593.94,SPRBS,229.06,no
42461383170000,8775,8593.94,SPRBS,181.06,no
42461383170000,8813,8593.94,SPRBS,219.06,no
42461357830000,8457.5,8417.35,WFMP,40.15,no
42461357830000,8447,8417.35,WFMP,29.65,no
42461357830000,9534,9395.65,WFMPD,138.35,no
42461357830000,8462.2,8417.35,WFMP,44.85,no
42445323770000,10676.5,no QEP tops associated with this API,no QEP tops associated with this API,no QEP tops associated with this API,no QEP tops associated with this API
42445323770000,10699.5,no QEP tops associated with this API,no QEP tops associated with this API,no QEP tops associated with this API,no QEP tops associated with this API
42445323770000,10730.5,no QEP tops associated with this API,no QEP tops associated with this API,no QEP tops associated with this API,no QEP tops associated with this API
42105414250000,7183,7171.49,WFMPC,11.51,no
42105414250000,6446,6208.22,WFMP,237.78,no
42105414250000,7018,6521.37,WFMPB,496.63,no
42105414250000,6484.5,6208.22,WFMP,276.28,no
42105414250000,6621.5,6521.37,WFMPB,100.13,no
42105414250000,6513,6208.22,WFMP,304.78,no
42105414250000,7130,6521.37,WFMPB,608.63,no
42105414250000,6858,6521.37,WFMPB,336.63,no
42105414250000,6255,6208.22,WFMP,46.78,no
